Utility_ID,Utility_Name,Utility_Type,Utility_Price,Cust_ID
7001,Locker 1,Locker,50,6001
7002,Weights 1,Weights,20,6002
7003,Machine 1,Machines,100,6003
7004,Locker 2,Locker,75,6004
7005,Weights 2,Weights,30,6005
7006,Locker 1,Locker,50,6006
7007,Weights 1,Weights,20,6007
7008,Machine 1,Machines,100,6008
7009,Locker 2,Locker,75,6009
7010,Weights 2,Weights,30,6010
7011,Locker 1,Locker,50,6011
7012,Weights 1,Weights,20,6012
7013,Machine 1,Machines,100,6013
7014,Locker 2,Locker,75,6014
7015,Weights 2,Weights,30,6015
